year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2010;16;Atlético Goianiense;42;38;11;9;18;51;57;-6;37
2011;13;Atlético Goianiense;48;38;12;12;14;50;45;5;42
2012;19;Atlético Goianiense;30;38;7;9;22;37;67;–30;26
2017;20;Atlético Goianiense;36;38;9;9;20;38;56;–18;32
