year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2014;15;Chapecoense;43;38;11;10;17;39;44;–5;38
2015;14;Chapecoense;47;38;12;11;15;34;44;–10;41
2016;11;Chapecoense;52;38;13;13;12;49;56;–7;46
2017;8;Chapecoense;54;38;15;9;14;47;49;–2;47
2018;14;Chapecoense;44;38;11;11;16;34;50;–16;39
2019;19;Chapecoense;32;38;7;11;20;31;52;–21;28
