year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2010;12;Ceará;47;38;10;17;11;35;44;-9;41
2011;18;Ceará;39;38;10;9;19;47;64;-17;34
2018;15;Ceará;44;38;10;14;14;32;38;–6;39
2019;16;Ceará;39;38;10;9;19;36;41;–5;34
