year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2011;19;América Mineiro;37;38;8;13;17;51;69;-18;32
2016;20;América Mineiro;28;38;7;7;24;23;58;–35;25
2018;17;América Mineiro;40;38;10;10;18;30;47;–17;35
