year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;23;Fortaleza;49;46;12;13;21;58;74;–16;35
2005;13;Fortaleza;55;42;16;7;19;58;64;–6;44
2006;18;Fortaleza;38;38;8;14;16;39;62;-23;33
2019;9;Fortaleza;53;38;15;8;15;50;49;1;46
