year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;18;Juventude;53;46;12;14;20;55;70;–15;38
2004;7;Juventude;70;46;20;10;16;60;66;-6;51
2005;14;Juventude;55;42;15;10;17;66;72;–6;44
2006;14;Juventude;47;38;13;8;17;44;54;-10;41
2007;18;Juventude;41;38;11;8;19;43;65;-22;36
