year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;24;Bahia;46;46;12;10;24;59;92;–33;33
2011;14;Bahia;46;38;11;13;14;43;49;-6;40
2012;15;Bahia;47;38;11;14;13;37;41;–4;41
2013;12;Bahia;48;38;12;12;14;37;45;–8;42
2014;18;Bahia;37;38;9;10;19;31;43;–12;32
2017;12;Bahia;50;38;13;11;14;50;48;2;44
2018;11;Bahia;48;38;12;12;14;39;41;–2;42
2019;11;Bahia;49;38;12;13;13;45;42;1;45
