year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2009;6;Avaí;57;38;15;12;11;61;52;9;50
2010;15;Avaí;43;38;11;10;17;49;58;-9;38
2011;20;Avaí;31;38;7;10;21;45;75;-30;27
2015;17;Avaí;42;38;11;9;18;38;60;–22;37
2017;18;Avaí;43;38;10;13;15;29;48;–19;38
2019;20;Avaí;20;38;3;11;24;18;62;–44;17
