year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2007;15;Náutico;49;38;14;7;17;66;63;3;43
2008;16;Náutico;44;38;11;11;16;44;54;–10;38
2009;19;Náutico;38;38;10;8;20;48;71;-23;33
2012;12;Náutico;49;38;14;7;17;44;51;–7;43
2013;20;Náutico;20;38;5;5;28;22;79;–57;17
