year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;21;Ponte Preta;50;46;11;18;17;63;73;–10;36
2004;10;Ponte Preta;64;46;19;7;20;43;73;-30;46
2005;18;Ponte Preta;51;42;15;6;21;63;80;–17;40
2006;17;Ponte Preta;39;38;10;9;19;45;65;-20;34
2012;14;Ponte Preta;48;38;12;12;14;37;44;–7;42
2013;19;Ponte Preta;37;38;9;10;19;37;55;–18;32
2015;11;Ponte Preta;51;38;13;12;13;41;40;1;45
2016;8;Ponte Preta;53;38;15;8;15;48;52;–4;46
2017;19;Ponte Preta;39;38;10;9;19;37;52;–15;34
