year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;4;São Caetano;74;46;19;14;13;53;37;16;53
2004;18;São Caetano;53;46;23;8;15;65;49;15;38
2005;17;São Caetano;52;42;14;10;18;54;60;–6;41
2006;19;São Caetano;36;38;9;9;20;37;53;-16;32
