year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;13;Guarani;61;46;17;10;19;64;72;–8;44
2004;22;Guarani;49;46;11;16;19;43;55;-12;35
2010;18;Guarani;37;38;8;13;17;33;53;-20;32
