year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2008;19;Portuguesa;38;38;9;11;18;48;70;–22;33
2012;16;Portuguesa;45;38;10;15;13;39;41;–2;39
2013;17;Portuguesa;44;38;12;12;14;50;46;4;42
