year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;22;Paysandu;49;46;15;12;19;74;77;–3;35
2004;14;Paysandu;56;46;14;14;18;56;76;-20;40
2005;21;Paysandu;41;42;12;5;25;63;92;–29;32
