year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2006;20;Santa Cruz;28;38;7;7;24;41;76;-35;25
2016;19;Santa Cruz;28;38;8;7;23;45;69;–24;27
