year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;14;Criciúma;60;46;17;9;20;57;69;–12;43
2004;21;Criciúma;50;46;13;11;22;61;78;-17;36
2013;14;Criciúma;46;38;13;7;18;49;63;–14;40
2014;20;Criciúma;32;38;7;11;20;28;56;–28;28
