year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2007;14;Sport;51;38;14;9;15;54;55;-1;45
2008;11;Sport;52;38;14;10;14;48;45;3;45
2009;20;Sport;31;38;7;10;21;48;71;-23;27
2012;17;Sport;41;38;10;11;17;39;56;–17;36
2014;11;Sport;52;38;14;10;14;36;46;–10;45
2015;6;Sport;59;38;15;14;9;53;38;15;52
2016;14;Sport;47;38;13;8;17;49;55;–6;41
2017;15;Sport;45;38;12;9;17;46;58;–12;39
2018;18;Sport;39;38;11;9;18;35;57;–22;37
