year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2003;10;Paraná;65;46;18;11;17;85;75;10;47
2004;15;Paraná;54;46;15;9;22;52;73;-21;39
2005;7;Paraná;61;42;17;10;15;59;51;8;48
2006;5;Paraná;60;38;18;6;14;56;49;7;53
2007;19;Paraná;41;38;11;8;19;42;64;-22;36
2018;20;Paraná;23;38;4;11;23;18;57;–39;20
